"","value","count"
"518","請問",324
"381","帳號",308
"543","謝謝",91
"514","蝦皮",71
"459","嗎",59
"545","購買",47
"190","尺寸",43
"275","私",43
"235","有",40
"191","方式",37
"461","想",35
"4","1",34
"224","多少",25
"316","知道",25
"506","價錢",23
"314","的",22
"276","私訊",21
"505","價格",18
"203","可以",16
"337","是",14
"53","cm",13
"465","感謝",13
"546","還有",13
"153","一下",12
"232","如何",12
"455","黑色",11
"289","呢",10
"344","穿",10
"415","麻煩",9
"516","請",9
"1","<ed><U+00A0><U+00BC>",8
"2","<ed><U+00BF><U+00B4>",8
"160","了",8
"250","你",8
"517","請私",8
"183","什麼",6
"5","10.5",5
"47","Chen",5
"165","下單",5
"206","外套",5
"209","正常",5
"251","你好",5
"262","我",5
"267","求",5
"409","都",5
"410","陳",5
"427","帽",5
"464","感恩",5
"479","號",5
"494","熊貓",5
"29","5",4
"123","T",4
"128","thx",4
"201","只有",4
"222","在",4
"225","多少錢",4
"229","好看",4
"243","灰白",4
"268","沒",4
"287","到",4
"296","店面",4
"313","版型",4
"334","怎麼",4
"392","現貨",4
"404","這個",4
"405","這雙",4
"419","喔",4
"428","幾號",4
"452","黃",4
"474","照片",4
"482","詢問",4
"552","藍色",4
"553","顏色",4
"17","26",3
"19","27",3
"31","7",3
"40","ADIDAS",3
"63","Han",3
"65","How",3
"78","L",3
"93","much",3
"97","NIKE",3
"111","S",3
"115","size",3
"121","Supreme",3
"122","t",3
"158","一樣",3
"167","大",3
"212","目前",3
"233","如果",3
"236","有沒有",3
"253","吧",3
"290","咖啡色",3
"293","店",3
"412","魚骨",3
"423","報價",3
"443","買",3
"470","會",3
"521","賣",3
"528","鞋子",3
"541","謝",3
"3","<U+FE0F>",2
"14","24",2
"15","25",2
"18","26.5",2
"21","28.5",2
"22","29",2
"23","3",2
"30","6",2
"33","8",2
"43","BALANCE",2
"49","Chiehni",2
"68","Huang",2
"72","INSTA",2
"83","Lin",2
"90","Mac13",2
"94","NEW",2
"96","Nike",2
"104","PUMP",2
"105","QQ",2
"106","Reebok",2
"112","Sam",2
"133","us",2
"155","一個",2
"163","上",2
"166","也",2
"173","小編",2
"175","已",2
"176","已私",2
"179","不好意思",2
"185","介紹",2
"186","內",2
"194","牛仔",2
"215","全黑",2
"228","好帥",2
"230","好像",2
"238","有貨",2
"241","此雙",2
"244","米色",2
"252","你們",2
"259","完售",2
"263","我們",2
"266","李",2
"270","沒有",2
"284","防水",2
"298","或",2
"299","或是",2
"302","板子",2
"306","林欣瑩",2
"332","建澍",2
"338","柯馨涵",2
"339","為",2
"341","看",2
"346","美國",2
"356","哪",2
"360","容量",2
"363","晉",2
"364","晏",2
"367","留言",2
"370","破壞",2
"374","乾燥",2
"376","售價",2
"378","問",2
"386","您好",2
"390","殺人",2
"394","球鞋",2
"402","這是",2
"407","連線",2
"425","就",2
"432","最大",2
"433","款式",2
"435","無偏",2
"438","程啟",2
"454","黑白",2
"463","想問",2
"472","極度",2
"484","跟",2
"490","實體",2
"498","製",2
"499","說",2
"504","價位",2
"513","蔡子彤",2
"520","請給",2
"522","賣場",2
"526","鄭貿升",2
"527","鞋",2
"532","興趣",2
"535","褲子",2
"551","簡均",2
"554","魏貫宇",2
"556","鯨",2
"559","囉",2
"6","1000",1
"7","11",1
"8","11.5",1
"9","13",1
"10","179",1
"11","2",1
"12","22",1
"13","23",1
"16","25.5",1
"20","28",1
"24","31",1
"25","32",1
"26","36",1
"27","4",1
"28","4280",1
"32","70",1
"34","8.5",1
"35","80",1
"36","9",1
"37","9.0",1
"38","9.5",1
"39","Adidas",1
"41","ADV",1
"42","AIR",1
"44","carhartt",1
"45","CBO",1
"46","CGY",1
"48","Cheng",1
"50","Chiu",1
"51","Chuan",1
"52","Chuang",1
"54","co",1
"55","coat",1
"56","Cole",1
"57","Dart",1
"58","DBREAK",1
"59","Detroit",1
"60","Ellie",1
"61","EQT",1
"62","Fragment",1
"64","Hi",1
"66","Hsing",1
"67","Hua",1
"69","Hung",1
"70","Ichashazi",1
"71","Ina",1
"73","jacket",1
"74","Johnny",1
"75","Ko",1
"76","Kuo",1
"77","kurbis",1
"79","LD",1
"80","le",1
"81","Lei",1
"82","Li",1
"84","logo",1
"85","Logo",1
"86","Lu",1
"87","M",1
"88","M990",1
"89","M996",1
"91","MAX",1
"92","michigan",1
"95","Nien",1
"98","O",1
"99","or10",1
"100","Pin",1
"101","plz",1
"102","pm",1
"103","PRIME",1
"107","Roshe",1
"108","Ru",1
"109","RUNNER",1
"110","s",1
"113","SE",1
"114","Shu",1
"116","Sock",1
"117","Street",1
"118","Superme",1
"119","Superstar",1
"120","supreme",1
"124","Tammy",1
"125","Tang",1
"126","Tee",1
"127","Thanks",1
"129","Ting",1
"130","Tokyo",1
"131","TUBULAR",1
"132","ULTRA",1
"134","us10",1
"135","US10",1
"136","us12",1
"137","us6",1
"138","us8",1
"139","US9",1
"140","W36",1
"141","Walker",1
"142","Wei",1
"143","Wen",1
"144","WU",1
"145","www",1
"146","x",1
"147","xs",1
"148","Yang",1
"149","Yell",1
"150","Yu",1
"151","ㄙ",1
"152","ㄝ",1
"154","一次",1
"156","一般",1
"157","一款",1
"159","一雙",1
"161","了嗎",1
"162","三種",1
"164","上圖",1
"168","大炮",1
"169","大腳",1
"170","女生",1
"171","寸",1
"172","小",1
"174","工作",1
"177","不",1
"178","不合",1
"180","不是",1
"181","不錯",1
"182","之後",1
